match_id,victoires_dom_5,nuls_dom_5,defaites_dom_5,victoires_ext_5,nuls_ext_5,defaites_ext_5,buts_marques_dom_moy,buts_encaisses_dom_moy,buts_marques_ext_moy,buts_encaisses_ext_moy,h2h_dom_wins,h2h_nuls,h2h_ext_wins,resultat
393,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
394,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,1
396,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
300,0,0,1,2,1,2,1,2,1,0,0,0,0,0
298,3,1,1,4,0,1,2,1,1,0,1,0,2,2
299,1,0,4,2,2,1,0,1,3,1,0,1,1,1
301,1,1,3,3,2,0,1,3,2,1,1,0,0,2
302,3,0,2,1,4,0,0,1,1,1,0,2,1,1
303,2,2,1,2,3,0,1,2,1,0,1,0,1,2
304,1,1,3,2,0,3,1,1,0,1,0,1,1,2
398,1,0,0,0,0,1,1,0,0,1,0,0,0,1
399,0,0,1,0,1,0,0,1,0,0,0,0,0,0
400,1,0,0,1,0,0,1,0,1,0,0,0,0,2
401,0,1,0,0,1,0,0,0,1,1,0,0,0,2
402,0,0,1,0,0,1,0,1,0,1,0,0,0,2
403,0,1,0,1,0,0,1,1,2,1,0,0,0,2
404,1,0,0,0,0,1,1,0,1,2,0,0,0,1
397,1,0,0,0,0,1,1,0,0,1,0,0,0,0
309,2,2,1,2,1,2,0.5,0.5,1.5,2,0,1,0,1
308,1,4,0,0,0,2,0.5,0.5,0.5,1.5,0,0,0,2
307,2,2,1,1,1,3,1.5,1.5,0,0.5,0,1,1,2
306,3,1,1,4,0,1,1,0,1.5,0.5,2,0,2,1
305,3,0,2,2,2,1,0.5,0.5,1.5,0.5,1,1,1,2
311,2,1,2,2,2,1,1.5,1,1,1,0,1,1,2
310,1,0,4,2,1,2,0.5,1.5,0,0.5,0,0,1,2
411,0,1,1,1,0,1,1.5,2,1.5,1,0,0,0,2
409,0,0,2,2,0,0,0.5,2,1.5,0,0,0,0,2
408,0,1,1,0,0,2,1,2,0,1,0,0,0,0
407,1,0,1,1,1,0,0.5,1,0.5,0,0,0,0,0
406,1,1,0,1,0,1,0.5,0,0.5,1,0,0,0,2
405,1,0,1,0,1,1,1,0.5,0,0.5,0,0,0,0
412,1,1,0,1,1,0,1.5,1,2,1,0,0,0,2
